item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,subject_context_condition,item,condition_id
18_word2_neutral_nocontext,word2,relieved,neutral,he,nocontext,,1,claim,he,he relieved her,relieved,her,claim,Did,believe,he relieved her claim,Did he believe her claim?,neutral_nocontext,18,word2_neutral_nocontext
18_word2_neutral_context1,word2,relieved,neutral,he,context1,"after listening to the speech, ",1,claim,"after listening to the speech, he","after listening to the speech, he relieved her",relieved,her,claim,Did,believe,"after listening to the speech, he relieved her claim",Did he believe her claim?,neutral_context1,18,word2_neutral_context1
18_word2_neutral_context2,word2,relieved,neutral,he,context2,"in the clinic, ",1,claim,"in the clinic, he","in the clinic, he relieved her",relieved,her,claim,Did,believe,"in the clinic, he relieved her claim",Did he believe her claim?,neutral_context2,18,word2_neutral_context2
18_word2_subject1_nocontext,word2,relieved,subject1,the gullible person,nocontext,,1,claim,the gullible person,the gullible person relieved her,relieved,her,claim,Did,believe,the gullible person relieved her claim,Did the gullible person believe her claim?,subject1_nocontext,18,word2_subject1_nocontext
18_word2_subject2_nocontext,word2,relieved,subject2,the therapist,nocontext,,1,claim,the therapist,the therapist relieved her,relieved,her,claim,Did,believe,the therapist relieved her claim,Did the therapist believe her claim?,subject2_nocontext,18,word2_subject2_nocontext
18_word2_control_neutral_nocontext,word2_control,reduced,neutral,he,nocontext,,1,claim,he,he reduced her,reduced,her,claim,Did,believe,he reduced her claim,Did he believe her claim?,neutral_nocontext,18,word2_control_neutral_nocontext
18_word2_control_neutral_context1,word2_control,reduced,neutral,he,context1,"after listening to the speech, ",1,claim,"after listening to the speech, he","after listening to the speech, he reduced her",reduced,her,claim,Did,believe,"after listening to the speech, he reduced her claim",Did he believe her claim?,neutral_context1,18,word2_control_neutral_context1
18_word2_control_neutral_context2,word2_control,reduced,neutral,he,context2,"in the clinic, ",1,claim,"in the clinic, he","in the clinic, he reduced her",reduced,her,claim,Did,believe,"in the clinic, he reduced her claim",Did he believe her claim?,neutral_context2,18,word2_control_neutral_context2
18_word2_control_subject1_nocontext,word2_control,reduced,subject1,the gullible person,nocontext,,1,claim,the gullible person,the gullible person reduced her,reduced,her,claim,Did,believe,the gullible person reduced her claim,Did the gullible person believe her claim?,subject1_nocontext,18,word2_control_subject1_nocontext
18_word2_control_subject2_nocontext,word2_control,reduced,subject2,the therapist,nocontext,,1,claim,the therapist,the therapist reduced her,reduced,her,claim,Did,believe,the therapist reduced her claim,Did the therapist believe her claim?,subject2_nocontext,18,word2_control_subject2_nocontext
18_nonword_neutral_nocontext,nonword,oelieved,neutral,he,nocontext,,1,claim,he,he oelieved her,oelieved,her,claim,Did,believe,he oelieved her claim,Did he believe her claim?,neutral_nocontext,18,nonword_neutral_nocontext
18_nonword_neutral_context1,nonword,oelieved,neutral,he,context1,"after listening to the speech, ",1,claim,"after listening to the speech, he","after listening to the speech, he oelieved her",oelieved,her,claim,Did,believe,"after listening to the speech, he oelieved her claim",Did he believe her claim?,neutral_context1,18,nonword_neutral_context1
18_nonword_neutral_context2,nonword,oelieved,neutral,he,context2,"in the clinic, ",1,claim,"in the clinic, he","in the clinic, he oelieved her",oelieved,her,claim,Did,believe,"in the clinic, he oelieved her claim",Did he believe her claim?,neutral_context2,18,nonword_neutral_context2
18_nonword_subject1_nocontext,nonword,oelieved,subject1,the gullible person,nocontext,,1,claim,the gullible person,the gullible person oelieved her,oelieved,her,claim,Did,believe,the gullible person oelieved her claim,Did the gullible person believe her claim?,subject1_nocontext,18,nonword_subject1_nocontext
18_nonword_subject2_nocontext,nonword,oelieved,subject2,the therapist,nocontext,,1,claim,the therapist,the therapist oelieved her,oelieved,her,claim,Did,believe,the therapist oelieved her claim,Did the therapist believe her claim?,subject2_nocontext,18,nonword_subject2_nocontext
18_random_neutral_nocontext,random,swenced,neutral,he,nocontext,,1,claim,he,he swenced her,swenced,her,claim,Did,believe,he swenced her claim,Did he believe her claim?,neutral_nocontext,18,random_neutral_nocontext
18_random_neutral_context1,random,swenced,neutral,he,context1,"after listening to the speech, ",1,claim,"after listening to the speech, he","after listening to the speech, he swenced her",swenced,her,claim,Did,believe,"after listening to the speech, he swenced her claim",Did he believe her claim?,neutral_context1,18,random_neutral_context1
18_random_neutral_context2,random,swenced,neutral,he,context2,"in the clinic, ",1,claim,"in the clinic, he","in the clinic, he swenced her",swenced,her,claim,Did,believe,"in the clinic, he swenced her claim",Did he believe her claim?,neutral_context2,18,random_neutral_context2
18_random_subject1_nocontext,random,swenced,subject1,the gullible person,nocontext,,1,claim,the gullible person,the gullible person swenced her,swenced,her,claim,Did,believe,the gullible person swenced her claim,Did the gullible person believe her claim?,subject1_nocontext,18,random_subject1_nocontext
18_random_subject2_nocontext,random,swenced,subject2,the therapist,nocontext,,1,claim,the therapist,the therapist swenced her,swenced,her,claim,Did,believe,the therapist swenced her claim,Did the therapist believe her claim?,subject2_nocontext,18,random_subject2_nocontext
19_word1_neutral_nocontext,word1,billed,neutral,he,nocontext,,1,client,he,he billed the,billed,the,client,Did,bill,he billed the client,Did he bill the client?,neutral_nocontext,19,word1_neutral_nocontext
19_word1_neutral_context1,word1,billed,neutral,he,context1,"after a thoughtful conversation, ",1,client,"after a thoughtful conversation, he","after a thoughtful conversation, he billed the",billed,the,client,Did,bill,"after a thoughtful conversation, he billed the client",Did he bill the client?,neutral_context1,19,word1_neutral_context1
19_word1_neutral_context2,word1,billed,neutral,he,context2,"in a dark alley, ",1,client,"in a dark alley, he","in a dark alley, he billed the",billed,the,client,Did,bill,"in a dark alley, he billed the client",Did he bill the client?,neutral_context2,19,word1_neutral_context2
19_word1_subject1_nocontext,word1,billed,subject1,the counselor,nocontext,,1,client,the counselor,the counselor billed the,billed,the,client,Did,bill,the counselor billed the client,Did the counselor bill the client?,subject1_nocontext,19,word1_subject1_nocontext
19_word1_subject2_nocontext,word1,billed,subject2,the suspect,nocontext,,1,client,the suspect,the suspect billed the,billed,the,client,Did,bill,the suspect billed the client,Did the suspect bill the client?,subject2_nocontext,19,word1_subject2_nocontext
19_word2_neutral_nocontext,word2,killed,neutral,he,nocontext,,1,client,he,he killed the,killed,the,client,Did,bill,he killed the client,Did he bill the client?,neutral_nocontext,19,word2_neutral_nocontext
19_word2_neutral_context1,word2,killed,neutral,he,context1,"after a thoughtful conversation, ",1,client,"after a thoughtful conversation, he","after a thoughtful conversation, he killed the",killed,the,client,Did,bill,"after a thoughtful conversation, he killed the client",Did he bill the client?,neutral_context1,19,word2_neutral_context1
19_word2_neutral_context2,word2,killed,neutral,he,context2,"in a dark alley, ",1,client,"in a dark alley, he","in a dark alley, he killed the",killed,the,client,Did,bill,"in a dark alley, he killed the client",Did he bill the client?,neutral_context2,19,word2_neutral_context2
19_word2_subject1_nocontext,word2,killed,subject1,the counselor,nocontext,,1,client,the counselor,the counselor killed the,killed,the,client,Did,bill,the counselor killed the client,Did the counselor bill the client?,subject1_nocontext,19,word2_subject1_nocontext
19_word2_subject2_nocontext,word2,killed,subject2,the suspect,nocontext,,1,client,the suspect,the suspect killed the,killed,the,client,Did,bill,the suspect killed the client,Did the suspect bill the client?,subject2_nocontext,19,word2_subject2_nocontext
19_word2_control_neutral_nocontext,word2_control,murdered,neutral,he,nocontext,,1,client,he,he murdered the,murdered,the,client,Did,bill,he murdered the client,Did he bill the client?,neutral_nocontext,19,word2_control_neutral_nocontext
19_word2_control_neutral_context1,word2_control,murdered,neutral,he,context1,"after a thoughtful conversation, ",1,client,"after a thoughtful conversation, he","after a thoughtful conversation, he murdered the",murdered,the,client,Did,bill,"after a thoughtful conversation, he murdered the client",Did he bill the client?,neutral_context1,19,word2_control_neutral_context1
19_word2_control_neutral_context2,word2_control,murdered,neutral,he,context2,"in a dark alley, ",1,client,"in a dark alley, he","in a dark alley, he murdered the",murdered,the,client,Did,bill,"in a dark alley, he murdered the client",Did he bill the client?,neutral_context2,19,word2_control_neutral_context2
19_word2_control_subject1_nocontext,word2_control,murdered,subject1,the counselor,nocontext,,1,client,the counselor,the counselor murdered the,murdered,the,client,Did,bill,the counselor murdered the client,Did the counselor bill the client?,subject1_nocontext,19,word2_control_subject1_nocontext
19_word2_control_subject2_nocontext,word2_control,murdered,subject2,the suspect,nocontext,,1,client,the suspect,the suspect murdered the,murdered,the,client,Did,bill,the suspect murdered the client,Did the suspect bill the client?,subject2_nocontext,19,word2_control_subject2_nocontext
19_nonword_neutral_nocontext,nonword,jilled,neutral,he,nocontext,,1,client,he,he jilled the,jilled,the,client,Did,bill,he jilled the client,Did he bill the client?,neutral_nocontext,19,nonword_neutral_nocontext
19_nonword_neutral_context1,nonword,jilled,neutral,he,context1,"after a thoughtful conversation, ",1,client,"after a thoughtful conversation, he","after a thoughtful conversation, he jilled the",jilled,the,client,Did,bill,"after a thoughtful conversation, he jilled the client",Did he bill the client?,neutral_context1,19,nonword_neutral_context1
19_nonword_neutral_context2,nonword,jilled,neutral,he,context2,"in a dark alley, ",1,client,"in a dark alley, he","in a dark alley, he jilled the",jilled,the,client,Did,bill,"in a dark alley, he jilled the client",Did he bill the client?,neutral_context2,19,nonword_neutral_context2
19_nonword_subject1_nocontext,nonword,jilled,subject1,the counselor,nocontext,,1,client,the counselor,the counselor jilled the,jilled,the,client,Did,bill,the counselor jilled the client,Did the counselor bill the client?,subject1_nocontext,19,nonword_subject1_nocontext
19_nonword_subject2_nocontext,nonword,jilled,subject2,the suspect,nocontext,,1,client,the suspect,the suspect jilled the,jilled,the,client,Did,bill,the suspect jilled the client,Did the suspect bill the client?,subject2_nocontext,19,nonword_subject2_nocontext
19_random_neutral_nocontext,random,vícgered,neutral,he,nocontext,,1,client,he,he vícgered the,vícgered,the,client,Did,bill,he vícgered the client,Did he bill the client?,neutral_nocontext,19,random_neutral_nocontext
19_random_neutral_context1,random,vícgered,neutral,he,context1,"after a thoughtful conversation, ",1,client,"after a thoughtful conversation, he","after a thoughtful conversation, he vícgered the",vícgered,the,client,Did,bill,"after a thoughtful conversation, he vícgered the client",Did he bill the client?,neutral_context1,19,random_neutral_context1
19_random_neutral_context2,random,vícgered,neutral,he,context2,"in a dark alley, ",1,client,"in a dark alley, he","in a dark alley, he vícgered the",vícgered,the,client,Did,bill,"in a dark alley, he vícgered the client",Did he bill the client?,neutral_context2,19,random_neutral_context2
19_random_subject1_nocontext,random,vícgered,subject1,the counselor,nocontext,,1,client,the counselor,the counselor vícgered the,vícgered,the,client,Did,bill,the counselor vícgered the client,Did the counselor bill the client?,subject1_nocontext,19,random_subject1_nocontext
19_random_subject2_nocontext,random,vícgered,subject2,the suspect,nocontext,,1,client,the suspect,the suspect vícgered the,vícgered,the,client,Did,bill,the suspect vícgered the client,Did the suspect bill the client?,subject2_nocontext,19,random_subject2_nocontext
20_word1_neutral_nocontext,word1,cites,neutral,he,nocontext,,1,study,he,he cites the,cites,the,study,Does,cite,he cites the study,Does he cite the study?,neutral_nocontext,20,word1_neutral_nocontext
20_word1_neutral_context1,word1,cites,neutral,he,context1,"when writing a paper, ",1,study,"when writing a paper, he","when writing a paper, he cites the",cites,the,study,Does,cite,"when writing a paper, he cites the study",Does he cite the study?,neutral_context1,20,word1_neutral_context1
20_word1_neutral_context2,word1,cites,neutral,he,context2,"in the canteen, ",1,study,"in the canteen, he","in the canteen, he cites the",cites,the,study,Does,cite,"in the canteen, he cites the study",Does he cite the study?,neutral_context2,20,word1_neutral_context2
20_word1_subject1_nocontext,word1,cites,subject1,the researcher,nocontext,,1,study,the researcher,the researcher cites the,cites,the,study,Does,cite,the researcher cites the study,Does the researcher cite the study?,subject1_nocontext,20,word1_subject1_nocontext
20_word1_subject2_nocontext,word1,cites,subject2,the hungry man,nocontext,,1,study,the hungry man,the hungry man cites the,cites,the,study,Does,cite,the hungry man cites the study,Does the hungry man cite the study?,subject2_nocontext,20,word1_subject2_nocontext
20_word2_neutral_nocontext,word2,bites,neutral,he,nocontext,,1,study,he,he bites the,bites,the,study,Does,cite,he bites the study,Does he cite the study?,neutral_nocontext,20,word2_neutral_nocontext
20_word2_neutral_context1,word2,bites,neutral,he,context1,"when writing a paper, ",1,study,"when writing a paper, he","when writing a paper, he bites the",bites,the,study,Does,cite,"when writing a paper, he bites the study",Does he cite the study?,neutral_context1,20,word2_neutral_context1
20_word2_neutral_context2,word2,bites,neutral,he,context2,"in the canteen, ",1,study,"in the canteen, he","in the canteen, he bites the",bites,the,study,Does,cite,"in the canteen, he bites the study",Does he cite the study?,neutral_context2,20,word2_neutral_context2
20_word2_subject1_nocontext,word2,bites,subject1,the researcher,nocontext,,1,study,the researcher,the researcher bites the,bites,the,study,Does,cite,the researcher bites the study,Does the researcher cite the study?,subject1_nocontext,20,word2_subject1_nocontext
20_word2_subject2_nocontext,word2,bites,subject2,the hungry man,nocontext,,1,study,the hungry man,the hungry man bites the,bites,the,study,Does,cite,the hungry man bites the study,Does the hungry man cite the study?,subject2_nocontext,20,word2_subject2_nocontext
20_word2_control_neutral_nocontext,word2_control,munches,neutral,he,nocontext,,1,study,he,he munches the,munches,the,study,Does,cite,he munches the study,Does he cite the study?,neutral_nocontext,20,word2_control_neutral_nocontext
20_word2_control_neutral_context1,word2_control,munches,neutral,he,context1,"when writing a paper, ",1,study,"when writing a paper, he","when writing a paper, he munches the",munches,the,study,Does,cite,"when writing a paper, he munches the study",Does he cite the study?,neutral_context1,20,word2_control_neutral_context1
20_word2_control_neutral_context2,word2_control,munches,neutral,he,context2,"in the canteen, ",1,study,"in the canteen, he","in the canteen, he munches the",munches,the,study,Does,cite,"in the canteen, he munches the study",Does he cite the study?,neutral_context2,20,word2_control_neutral_context2
20_word2_control_subject1_nocontext,word2_control,munches,subject1,the researcher,nocontext,,1,study,the researcher,the researcher munches the,munches,the,study,Does,cite,the researcher munches the study,Does the researcher cite the study?,subject1_nocontext,20,word2_control_subject1_nocontext
20_word2_control_subject2_nocontext,word2_control,munches,subject2,the hungry man,nocontext,,1,study,the hungry man,the hungry man munches the,munches,the,study,Does,cite,the hungry man munches the study,Does the hungry man cite the study?,subject2_nocontext,20,word2_control_subject2_nocontext
20_nonword_neutral_nocontext,nonword,iites,neutral,he,nocontext,,1,study,he,he iites the,iites,the,study,Does,cite,he iites the study,Does he cite the study?,neutral_nocontext,20,nonword_neutral_nocontext
20_nonword_neutral_context1,nonword,iites,neutral,he,context1,"when writing a paper, ",1,study,"when writing a paper, he","when writing a paper, he iites the",iites,the,study,Does,cite,"when writing a paper, he iites the study",Does he cite the study?,neutral_context1,20,nonword_neutral_context1
20_nonword_neutral_context2,nonword,iites,neutral,he,context2,"in the canteen, ",1,study,"in the canteen, he","in the canteen, he iites the",iites,the,study,Does,cite,"in the canteen, he iites the study",Does he cite the study?,neutral_context2,20,nonword_neutral_context2
20_nonword_subject1_nocontext,nonword,iites,subject1,the researcher,nocontext,,1,study,the researcher,the researcher iites the,iites,the,study,Does,cite,the researcher iites the study,Does the researcher cite the study?,subject1_nocontext,20,nonword_subject1_nocontext
20_nonword_subject2_nocontext,nonword,iites,subject2,the hungry man,nocontext,,1,study,the hungry man,the hungry man iites the,iites,the,study,Does,cite,the hungry man iites the study,Does the hungry man cite the study?,subject2_nocontext,20,nonword_subject2_nocontext
20_random_neutral_nocontext,random,tutches,neutral,he,nocontext,,1,study,he,he tutches the,tutches,the,study,Does,cite,he tutches the study,Does he cite the study?,neutral_nocontext,20,random_neutral_nocontext
20_random_neutral_context1,random,tutches,neutral,he,context1,"when writing a paper, ",1,study,"when writing a paper, he","when writing a paper, he tutches the",tutches,the,study,Does,cite,"when writing a paper, he tutches the study",Does he cite the study?,neutral_context1,20,random_neutral_context1
20_random_neutral_context2,random,tutches,neutral,he,context2,"in the canteen, ",1,study,"in the canteen, he","in the canteen, he tutches the",tutches,the,study,Does,cite,"in the canteen, he tutches the study",Does he cite the study?,neutral_context2,20,random_neutral_context2
20_random_subject1_nocontext,random,tutches,subject1,the researcher,nocontext,,1,study,the researcher,the researcher tutches the,tutches,the,study,Does,cite,the researcher tutches the study,Does the researcher cite the study?,subject1_nocontext,20,random_subject1_nocontext
20_random_subject2_nocontext,random,tutches,subject2,the hungry man,nocontext,,1,study,the hungry man,the hungry man tutches the,tutches,the,study,Does,cite,the hungry man tutches the study,Does the hungry man cite the study?,subject2_nocontext,20,random_subject2_nocontext
21_word1_neutral_nocontext,word1,attached,neutral,he,nocontext,,1,file,he,he attached the,attached,the,file,Did,attach,he attached the file,Did he attach the file?,neutral_nocontext,21,word1_neutral_nocontext
21_word1_neutral_context1,word1,attached,neutral,he,context1,"in the email, ",1,file,"in the email, he","in the email, he attached the",attached,the,file,Did,attach,"in the email, he attached the file",Did he attach the file?,neutral_context1,21,word1_neutral_context1
21_word1_neutral_context2,word1,attached,neutral,he,context2,"in the battlefield, ",1,file,"in the battlefield, he","in the battlefield, he attached the",attached,the,file,Did,attach,"in the battlefield, he attached the file",Did he attach the file?,neutral_context2,21,word1_neutral_context2
21_word1_subject1_nocontext,word1,attached,subject1,the secretary,nocontext,,1,file,the secretary,the secretary attached the,attached,the,file,Did,attach,the secretary attached the file,Did the secretary attach the file?,subject1_nocontext,21,word1_subject1_nocontext
21_word1_subject2_nocontext,word1,attached,subject2,the soldier,nocontext,,1,file,the soldier,the soldier attached the,attached,the,file,Did,attach,the soldier attached the file,Did the soldier attach the file?,subject2_nocontext,21,word1_subject2_nocontext
21_word2_neutral_nocontext,word2,attacked,neutral,he,nocontext,,1,file,he,he attacked the,attacked,the,file,Did,attach,he attacked the file,Did he attach the file?,neutral_nocontext,21,word2_neutral_nocontext
21_word2_neutral_context1,word2,attacked,neutral,he,context1,"in the email, ",1,file,"in the email, he","in the email, he attacked the",attacked,the,file,Did,attach,"in the email, he attacked the file",Did he attach the file?,neutral_context1,21,word2_neutral_context1
21_word2_neutral_context2,word2,attacked,neutral,he,context2,"in the battlefield, ",1,file,"in the battlefield, he","in the battlefield, he attacked the",attacked,the,file,Did,attach,"in the battlefield, he attacked the file",Did he attach the file?,neutral_context2,21,word2_neutral_context2
21_word2_subject1_nocontext,word2,attacked,subject1,the secretary,nocontext,,1,file,the secretary,the secretary attacked the,attacked,the,file,Did,attach,the secretary attacked the file,Did the secretary attach the file?,subject1_nocontext,21,word2_subject1_nocontext
21_word2_subject2_nocontext,word2,attacked,subject2,the soldier,nocontext,,1,file,the soldier,the soldier attacked the,attacked,the,file,Did,attach,the soldier attacked the file,Did the soldier attach the file?,subject2_nocontext,21,word2_subject2_nocontext
21_word2_control_neutral_nocontext,word2_control,struck,neutral,he,nocontext,,1,file,he,he struck the,struck,the,file,Did,attach,he struck the file,Did he attach the file?,neutral_nocontext,21,word2_control_neutral_nocontext
21_word2_control_neutral_context1,word2_control,struck,neutral,he,context1,"in the email, ",1,file,"in the email, he","in the email, he struck the",struck,the,file,Did,attach,"in the email, he struck the file",Did he attach the file?,neutral_context1,21,word2_control_neutral_context1
21_word2_control_neutral_context2,word2_control,struck,neutral,he,context2,"in the battlefield, ",1,file,"in the battlefield, he","in the battlefield, he struck the",struck,the,file,Did,attach,"in the battlefield, he struck the file",Did he attach the file?,neutral_context2,21,word2_control_neutral_context2
21_word2_control_subject1_nocontext,word2_control,struck,subject1,the secretary,nocontext,,1,file,the secretary,the secretary struck the,struck,the,file,Did,attach,the secretary struck the file,Did the secretary attach the file?,subject1_nocontext,21,word2_control_subject1_nocontext
21_word2_control_subject2_nocontext,word2_control,struck,subject2,the soldier,nocontext,,1,file,the soldier,the soldier struck the,struck,the,file,Did,attach,the soldier struck the file,Did the soldier attach the file?,subject2_nocontext,21,word2_control_subject2_nocontext
21_nonword_neutral_nocontext,nonword,attacmed,neutral,he,nocontext,,1,file,he,he attacmed the,attacmed,the,file,Did,attach,he attacmed the file,Did he attach the file?,neutral_nocontext,21,nonword_neutral_nocontext
21_nonword_neutral_context1,nonword,attacmed,neutral,he,context1,"in the email, ",1,file,"in the email, he","in the email, he attacmed the",attacmed,the,file,Did,attach,"in the email, he attacmed the file",Did he attach the file?,neutral_context1,21,nonword_neutral_context1
21_nonword_neutral_context2,nonword,attacmed,neutral,he,context2,"in the battlefield, ",1,file,"in the battlefield, he","in the battlefield, he attacmed the",attacmed,the,file,Did,attach,"in the battlefield, he attacmed the file",Did he attach the file?,neutral_context2,21,nonword_neutral_context2
21_nonword_subject1_nocontext,nonword,attacmed,subject1,the secretary,nocontext,,1,file,the secretary,the secretary attacmed the,attacmed,the,file,Did,attach,the secretary attacmed the file,Did the secretary attach the file?,subject1_nocontext,21,nonword_subject1_nocontext
21_nonword_subject2_nocontext,nonword,attacmed,subject2,the soldier,nocontext,,1,file,the soldier,the soldier attacmed the,attacmed,the,file,Did,attach,the soldier attacmed the file,Did the soldier attach the file?,subject2_nocontext,21,nonword_subject2_nocontext
21_random_neutral_nocontext,random,kapsed,neutral,he,nocontext,,1,file,he,he kapsed the,kapsed,the,file,Did,attach,he kapsed the file,Did he attach the file?,neutral_nocontext,21,random_neutral_nocontext
21_random_neutral_context1,random,kapsed,neutral,he,context1,"in the email, ",1,file,"in the email, he","in the email, he kapsed the",kapsed,the,file,Did,attach,"in the email, he kapsed the file",Did he attach the file?,neutral_context1,21,random_neutral_context1
21_random_neutral_context2,random,kapsed,neutral,he,context2,"in the battlefield, ",1,file,"in the battlefield, he","in the battlefield, he kapsed the",kapsed,the,file,Did,attach,"in the battlefield, he kapsed the file",Did he attach the file?,neutral_context2,21,random_neutral_context2
21_random_subject1_nocontext,random,kapsed,subject1,the secretary,nocontext,,1,file,the secretary,the secretary kapsed the,kapsed,the,file,Did,attach,the secretary kapsed the file,Did the secretary attach the file?,subject1_nocontext,21,random_subject1_nocontext
21_random_subject2_nocontext,random,kapsed,subject2,the soldier,nocontext,,1,file,the soldier,the soldier kapsed the,kapsed,the,file,Did,attach,the soldier kapsed the file,Did the soldier attach the file?,subject2_nocontext,21,random_subject2_nocontext
22_word1_neutral_nocontext,word1,earns,neutral,he,nocontext,,1,fortune,he,he earns a,earns,a,fortune,Does,earn,he earns a fortune,Does he earn a fortune?,neutral_nocontext,22,word1_neutral_nocontext
22_word1_neutral_context1,word1,earns,neutral,he,context1,"because of the good economic situation, ",1,fortune,"because of the good economic situation, he","because of the good economic situation, he earns a",earns,a,fortune,Does,earn,"because of the good economic situation, he earns a fortune",Does he earn a fortune?,neutral_context1,22,word1_neutral_context1
22_word1_neutral_context2,word1,earns,neutral,he,context2,"during the march, ",1,fortune,"during the march, he","during the march, he earns a",earns,a,fortune,Does,earn,"during the march, he earns a fortune",Does he earn a fortune?,neutral_context2,22,word1_neutral_context2
22_word1_subject1_nocontext,word1,earns,subject1,the investor,nocontext,,1,fortune,the investor,the investor earns a,earns,a,fortune,Does,earn,the investor earns a fortune,Does the investor earn a fortune?,subject1_nocontext,22,word1_subject1_nocontext
22_word1_subject2_nocontext,word1,earns,subject2,the policeman,nocontext,,1,fortune,the policeman,the policeman earns a,earns,a,fortune,Does,earn,the policeman earns a fortune,Does the policeman earn a fortune?,subject2_nocontext,22,word1_subject2_nocontext
22_word2_neutral_nocontext,word2,warns,neutral,he,nocontext,,1,fortune,he,he warns a,warns,a,fortune,Does,earn,he warns a fortune,Does he earn a fortune?,neutral_nocontext,22,word2_neutral_nocontext
22_word2_neutral_context1,word2,warns,neutral,he,context1,"because of the good economic situation, ",1,fortune,"because of the good economic situation, he","because of the good economic situation, he warns a",warns,a,fortune,Does,earn,"because of the good economic situation, he warns a fortune",Does he earn a fortune?,neutral_context1,22,word2_neutral_context1
22_word2_neutral_context2,word2,warns,neutral,he,context2,"during the march, ",1,fortune,"during the march, he","during the march, he warns a",warns,a,fortune,Does,earn,"during the march, he warns a fortune",Does he earn a fortune?,neutral_context2,22,word2_neutral_context2
22_word2_subject1_nocontext,word2,warns,subject1,the investor,nocontext,,1,fortune,the investor,the investor warns a,warns,a,fortune,Does,earn,the investor warns a fortune,Does the investor earn a fortune?,subject1_nocontext,22,word2_subject1_nocontext
22_word2_subject2_nocontext,word2,warns,subject2,the policeman,nocontext,,1,fortune,the policeman,the policeman warns a,warns,a,fortune,Does,earn,the policeman warns a fortune,Does the policeman earn a fortune?,subject2_nocontext,22,word2_subject2_nocontext
22_word2_control_neutral_nocontext,word2_control,cautions,neutral,he,nocontext,,1,fortune,he,he cautions a,cautions,a,fortune,Does,earn,he cautions a fortune,Does he earn a fortune?,neutral_nocontext,22,word2_control_neutral_nocontext
22_word2_control_neutral_context1,word2_control,cautions,neutral,he,context1,"because of the good economic situation, ",1,fortune,"because of the good economic situation, he","because of the good economic situation, he cautions a",cautions,a,fortune,Does,earn,"because of the good economic situation, he cautions a fortune",Does he earn a fortune?,neutral_context1,22,word2_control_neutral_context1
22_word2_control_neutral_context2,word2_control,cautions,neutral,he,context2,"during the march, ",1,fortune,"during the march, he","during the march, he cautions a",cautions,a,fortune,Does,earn,"during the march, he cautions a fortune",Does he earn a fortune?,neutral_context2,22,word2_control_neutral_context2
22_word2_control_subject1_nocontext,word2_control,cautions,subject1,the investor,nocontext,,1,fortune,the investor,the investor cautions a,cautions,a,fortune,Does,earn,the investor cautions a fortune,Does the investor earn a fortune?,subject1_nocontext,22,word2_control_subject1_nocontext
22_word2_control_subject2_nocontext,word2_control,cautions,subject2,the policeman,nocontext,,1,fortune,the policeman,the policeman cautions a,cautions,a,fortune,Does,earn,the policeman cautions a fortune,Does the policeman earn a fortune?,subject2_nocontext,22,word2_control_subject2_nocontext
22_nonword_neutral_nocontext,nonword,narns,neutral,he,nocontext,,1,fortune,he,he narns a,narns,a,fortune,Does,earn,he narns a fortune,Does he earn a fortune?,neutral_nocontext,22,nonword_neutral_nocontext
22_nonword_neutral_context1,nonword,narns,neutral,he,context1,"because of the good economic situation, ",1,fortune,"because of the good economic situation, he","because of the good economic situation, he narns a",narns,a,fortune,Does,earn,"because of the good economic situation, he narns a fortune",Does he earn a fortune?,neutral_context1,22,nonword_neutral_context1
22_nonword_neutral_context2,nonword,narns,neutral,he,context2,"during the march, ",1,fortune,"during the march, he","during the march, he narns a",narns,a,fortune,Does,earn,"during the march, he narns a fortune",Does he earn a fortune?,neutral_context2,22,nonword_neutral_context2
22_nonword_subject1_nocontext,nonword,narns,subject1,the investor,nocontext,,1,fortune,the investor,the investor narns a,narns,a,fortune,Does,earn,the investor narns a fortune,Does the investor earn a fortune?,subject1_nocontext,22,nonword_subject1_nocontext
22_nonword_subject2_nocontext,nonword,narns,subject2,the policeman,nocontext,,1,fortune,the policeman,the policeman narns a,narns,a,fortune,Does,earn,the policeman narns a fortune,Does the policeman earn a fortune?,subject2_nocontext,22,nonword_subject2_nocontext
22_random_neutral_nocontext,random,tenrrons,neutral,he,nocontext,,1,fortune,he,he tenrrons a,tenrrons,a,fortune,Does,earn,he tenrrons a fortune,Does he earn a fortune?,neutral_nocontext,22,random_neutral_nocontext
22_random_neutral_context1,random,tenrrons,neutral,he,context1,"because of the good economic situation, ",1,fortune,"because of the good economic situation, he","because of the good economic situation, he tenrrons a",tenrrons,a,fortune,Does,earn,"because of the good economic situation, he tenrrons a fortune",Does he earn a fortune?,neutral_context1,22,random_neutral_context1
22_random_neutral_context2,random,tenrrons,neutral,he,context2,"during the march, ",1,fortune,"during the march, he","during the march, he tenrrons a",tenrrons,a,fortune,Does,earn,"during the march, he tenrrons a fortune",Does he earn a fortune?,neutral_context2,22,random_neutral_context2
22_random_subject1_nocontext,random,tenrrons,subject1,the investor,nocontext,,1,fortune,the investor,the investor tenrrons a,tenrrons,a,fortune,Does,earn,the investor tenrrons a fortune,Does the investor earn a fortune?,subject1_nocontext,22,random_subject1_nocontext
